f,t0,y0,tf,h,m,N,delay,solver
"$f(t, y) = t e^{3 t} - 2 y$",0,0,10,0.5,0,20,5.269050598144531e-05,Nth_Taylor
"$f(t, y) = t e^{3 t} - 2 y$",0,0,10,0.5,0,20,6.604194641113281e-05,Threaded_Nth_Taylor
"$f(t, y) = t e^{3 t} - 2 y$",0,0,10,0.5,0,20,0.0004279613494873047,Multi_Nth_Taylor
"$f(t, y) = \left(t - y\right)^{2} + 1$",2,1,10,0.5,0,16,2.6226043701171875e-05,Nth_Taylor
"$f(t, y) = \left(t - y\right)^{2} + 1$",2,1,10,0.5,0,16,4.792213439941406e-05,Threaded_Nth_Taylor
"$f(t, y) = \left(t - y\right)^{2} + 1$",2,1,10,0.5,0,16,0.0002319812774658203,Multi_Nth_Taylor
"$f(t, y) = 1 + \frac{y}{t}$",1,2,10,0.5,0,18,2.7418136596679688e-05,Nth_Taylor
"$f(t, y) = 1 + \frac{y}{t}$",1,2,10,0.5,0,18,5.555152893066406e-05,Threaded_Nth_Taylor
"$f(t, y) = 1 + \frac{y}{t}$",1,2,10,0.5,0,18,0.00019788742065429688,Multi_Nth_Taylor
"$f(t, y) = \sin{\left(3 t \right)} + \cos{\left(2 t \right)}$",0,1,10,0.5,0,20,2.7418136596679688e-05,Nth_Taylor
"$f(t, y) = \sin{\left(3 t \right)} + \cos{\left(2 t \right)}$",0,1,10,0.5,0,20,2.8133392333984375e-05,Threaded_Nth_Taylor
"$f(t, y) = \sin{\left(3 t \right)} + \cos{\left(2 t \right)}$",0,1,10,0.5,0,20,0.00012302398681640625,Multi_Nth_Taylor
"$f(t, y) = e^{t - y}$",0,1,10,0.5,0,20,1.4781951904296875e-05,Nth_Taylor
"$f(t, y) = e^{t - y}$",0,1,10,0.5,0,20,2.5033950805664062e-05,Threaded_Nth_Taylor
"$f(t, y) = e^{t - y}$",0,1,10,0.5,0,20,0.0001404285430908203,Multi_Nth_Taylor
"$f(t, y) = \frac{t + 1}{y + 1}$",1,1,10,0.5,0,18,1.4066696166992188e-05,Nth_Taylor
"$f(t, y) = \frac{t + 1}{y + 1}$",1,1,10,0.5,0,18,2.09808349609375e-05,Threaded_Nth_Taylor
"$f(t, y) = \frac{t + 1}{y + 1}$",1,1,10,0.5,0,18,0.00011229515075683594,Multi_Nth_Taylor
"$f(t, y) = t \sqrt{y} - y$",2,1,10,0.5,0,16,1.7642974853515625e-05,Nth_Taylor
"$f(t, y) = t \sqrt{y} - y$",2,1,10,0.5,0,16,3.743171691894531e-05,Threaded_Nth_Taylor
"$f(t, y) = t \sqrt{y} - y$",2,1,10,0.5,0,16,0.00021076202392578125,Multi_Nth_Taylor
"$f(t, y) = \frac{\sin{\left(2 t \right)} - \sin{\left(2 t y \right)}}{t^{2}}$",1,1,10,0.5,0,18,2.1696090698242188e-05,Nth_Taylor
"$f(t, y) = \frac{\sin{\left(2 t \right)} - \sin{\left(2 t y \right)}}{t^{2}}$",1,1,10,0.5,0,18,3.528594970703125e-05,Threaded_Nth_Taylor
"$f(t, y) = \frac{\sin{\left(2 t \right)} - \sin{\left(2 t y \right)}}{t^{2}}$",1,1,10,0.5,0,18,0.0002231597900390625,Multi_Nth_Taylor
